l_english:
 zhx_opening.101.t:0 "番禺旧帆"
 zhx_opening.307.d:0 "武昌的鄂伯享有一份比楚国许多宗亲更古老的尊荣。姞氏先人曾在江汉建立鄂国，后来熊渠为铜矿伐鄂，故国覆亡，族人与贵族长期流散。待楚公也要效法周室保存前代之后，便寻得姞韬，封为鄂伯，尊鄂为楚长。被楚人逐走的古族，于是又凭楚人的册命回到武昌。\n\n这份礼遇很少带来实权。历代鄂伯主持祭祀、延续宗庙，内政与外交却掌握在楚公任命的国相手中。公室可以借尊鄂显示仁德，鄂伯甚至不能自行决定该如何保护自己的国土。姞函继位时，看见的便是这样一个有先世、有名号，却难以独立发令的伯国。\n\n熊立辉暴毙后，熊氏诸子争相拥兵，姞函认为机会终于来到。他遣刺客杀死国相熊敏，与几位楚国王子结盟，在对方默许下招集兵马、封锁江面。姞氏试图亲自掌握武昌，也让荆州第一次清楚看见，保存古国的礼制可以成为反抗宗主的依据。\n\n熊方策容让诸弟，却不肯同样容让外姓的鄂伯。汉阳之战击败了鄂国有限的兵力，姞函只得请罪，恢复由楚相主事的旧制。妻子熊万妮与熊氏的婚姻关系，没有替他免去这场败局；继承人姞莫要接下的，也仍是一份受人看管的封土。但熊敏已经死去，鄂军也曾真正集结，旧日无人敢说的话已在城中说过。新来的楚相可以坐回原来的席位，未必还能像前任一样，认定身旁的鄂伯只会行礼。"
 zhx_opening.307.a:0 "乘鄂渚而反顾兮。"
 zhx_opening.308.t:0 "赣水孤舟"
 zhx_opening.308.d:0 "赣水将粮食、商货与四方消息送进南昌。伯府可以从同一批船上收到商税，也听见西面失地的传闻、南方客民的动向，以及东面吴越休兵后仍未消散的戒备。司马墨统治的旧国尚有田赋与城邑，却已很难找到一面无需操心的边境。\n\n南昌本是周天子经营扬越、山越之后设立的姬姓封国，与临川同处赣江一带。834年，从北方赵国投来的大将司马密把持政权，废去旧主。司马氏后来又凭平定黄巢之乱的功劳，取得周天子的正式册封，终于把夺来的权柄变成可传子孙的伯位。朝廷一直记得，周室的承认曾怎样结束一家新主的尴尬。\n\n只是册命没有挡住楚军。熊立辉东征南讨，南昌在交战中败北，丢失西部土地；他身死之后，分据各处的熊氏宗亲又把楚国的争执带到江右。原本可以向一个楚公交涉的事，如今未必还有一个人能够答复。南方客家运动扰乱旧有统治，北来的流民也需要安置，司马氏剩下的钱粮必须同时应付边防与内地。\n\n龙虎山尤其使人难以放心。往日尚肯顺从南昌的天师府，已有乡勇道兵可供驱使，又以周室所授地位自重；吴越虽暂止争端，也没有因此向赣江作出长久保证。司马墨奉礼教而重法家，可以整顿本国的簿籍号令，却不能照一纸条令处置所有邻人。继承人司马天宜将面对的边界，正在父辈的败战与交涉中重新划定。赣江仍有船来，南昌须先使这些船愿意留下货物，再设法让它们带走自己的声音。"
 zhx_opening.308.a:0 "穷且益坚，不坠青云之志。"
 zhx_opening.309.t:0 "失地无诏"
 zhx_opening.309.d:0 "临川送往周廷的申诉，仍在叙说安成如何失去。楚军夺地之后，熊立冯据守当地，荆州又因宗亲争权而无力收束。汤家博既不能凭一封国书让安成归还，也没有从周天子那里等来足以改变局势的答复。使者循旧路往返，边界上的旗号没有换回来。\n\n汤氏自身也曾依靠外力改易国统。周室在赣江平原分封时，临川与南昌同属姬姓；834年，地方百越豪强汤氏得到南海助力，举兵反抗旧伯，最终取而代之，将姬氏逐往南海之滨。六百余年下来，当年的地方新贵已是临川的世袭伯室，今日又以封国旧疆为据，请求周廷约束夺地的楚人。\n\n近年的败局恰好暴露了这份名分的限度。安成落入熊氏手中，临川失去的既有土地，也有原可用于养兵守边的钱粮；楚国分裂并未将失土送回，反而让直接据守者更不肯轻易放手。汤家博若要收复故地，需要足够的兵力；重新征调，又会落在已经承担战败损失的乡民身上。\n\n南方客家起事与北方流民迁入，还使旧有乡里关系不断变化。官府要辨认谁仍纳赋，乡人要防备谁会来征粮，许多家庭所求只是一季能够安稳收割的田。井冈一带的山岭可以挡住外军，也容得下不愿再受官吏管束的人。继承人汤梁安尚未接印，父辈留下的求援书、军费和失地便已摆在眼前。汤家博仍可等待周廷开口，但安成城里的熊氏，不会因为临川的等待而少收一年田租。"
 zhx_opening.309.a:0 "明月何时照我还。"
 zhx_opening.310.t:0 "山门不语"
 zhx_opening.310.d:0 "龙虎山的法坛为诸侯祈雨，也为天子祈福。香客沿山道上行时，能见到披甲守门的人；送来供奉的地方官则知道，山中的张天师既受尊为国师，也有自己的土地与人众。十三世天师沿用张道陵之名，对外仍以转世相承，仿佛山门之内从未换过主人。\n\n184年，黄巾与五斗米道的起事遭周室镇压。此后天子为示百家和解，将张天师安置于龙虎山道场，授予独立地位，连同附近的土地与农奴一并交付。名义上，这片土地仍向南昌承租；但天子又许天师以每年祈禳免除田租等债务，南昌伯能在簿上写下应收的钱，却未必有资格到山门前催取。\n\n周边诸国还须定期送来童男童女，名为炼丹童子。许多年过去，外人既未见山中人口相应增加，也很少得到入山者后来的确切消息。有人说他们随历代天师飞升，有人传言他们成了献给王公的丹药，也有人认定道兵正来自这些受供养的人。相互抵牾的传闻都有人信，天师府却不必逐一向乡里的父母作答。\n\n蒙古进犯中原时，又传出天师团北赴襄阳、刀枪不入的故事，可靠的记载却寥寥。如今龙虎山募集的乡勇道兵就在眼前，南昌已经不能将他们一概当作山中传说。诸侯愈是忧惧兵乱、疾病与继承，便愈有人愿意向法坛求取保证。十三世张天师可以继续凭借这些信任维持地位，也须让持兵守门的人得到实际供养。钟声传出山谷，新一批供奉正候在阶下，随行者仍不敢越过那道门槛。"
 zhx_opening.310.a:0 "玄之又玄，众妙之门。"
