"design_key","game_id","rgb_r","rgb_g","rgb_b","macro_region","draw_batch","new_name_zh","new_name_en","internal_key_hint","parent_id","parent_definition_name","parent_history_name","parent_area","parent_tax","parent_production","parent_manpower","retained_name_zh","retained_tax","retained_production","retained_manpower","new_tax","new_production","new_manpower","split_group","group_dev_delta","proposed_owner","claims_or_uncertainty","status","rationale"
"S-55","5018","60","200","165","south_china","B11","宿迁","Suqian","zhx_suqian_jiangsu","2142","Huai'an","Huai'an","xuhuai_haizhou_area","4","5","2","淮安","4","5","2","3","2","2","p2142-northjiangsu","14","徐淮","以骆马湖、黄运河故道为骨架","geometry_drawn_assets_ready","运河宿站、湖泊与农牧交错腹地。"
"S-56","5019","155","105","230","south_china","B11","清河","Qinghe","zhx_qinghe_jiangsu","2142","Huai'an","Huai'an","xuhuai_haizhou_area","4","5","2","淮安","4","5","2","2","3","2","p2142-northjiangsu","14","淮扬","并回淮安，不再作为独立省份","retired_merged","降低苏北省份密度；清河作为淮安内部漕运节点保留。"
"S-57","5020","225","155","55","south_china","B11","盐城","Yancheng","zhx_yancheng_jiangsu","4196","Haizhou","Haizhou","xuhuai_haizhou_area","2","3","2","海州","2","3","2","2","4","2","p4196-northjiangsu","8","淮扬","依海岸盐场与串场河划界","geometry_drawn_assets_ready","黄海盐场、滩涂与串场河运输带。"
"S-58","5021","70","180","230","south_china","B11","高邮","Gaoyou","zhx_gaoyou_jiangsu","685","Huai'an","Yangzhou","huaiyang_tongtai_area","12","12","2","扬州","6","8","3","3","3","2","p685-b","26","淮扬盟","以高邮湖和运河中轴划界","geometry_drawn_assets_ready","湖荡农业和京杭运河节点。"
"S-59","5022","215","80","95","south_china","B11","通州","Tongzhou","zhx_tongzhou_jiangsu","685","Huai'an","Yangzhou","huaiyang_tongtai_area","12","12","2","扬州","6","8","3","3","4","2","p685-b","26","淮扬盟","沿长江北汊与海门沙洲划界","geometry_drawn_assets_ready","江海门户与棉布生产地。"
"S-60","5023","105","205","80","south_china","B11","如皋","Rugao","zhx_rugao_jiangsu","685","Huai'an","Yangzhou","huaiyang_tongtai_area","12","12","2","扬州","6","8","3","3","3","2","p685-b","26","淮扬盟","依通扬运河和沿江圩田划界","geometry_drawn_assets_ready","长江北岸的粮棉腹地。"
"S-61","5024","200","120","45","south_china","B11","常州","Changzhou","zhx_changzhou_jiangsu","2145","Zhenjiang","Zhenjiang","jinling_wuhui_area","4","4","2","镇江","4","4","2","4","5","2","p2145-southjiangsu","11","吴","沿运河与茅山—太湖西缘划界","geometry_drawn_assets_ready","运河工商业、粮桑和太湖西岸节点。"
"S-62","5025","55","145","215","south_china","B11","无锡","Wuxi","zhx_wuxi_jiangsu","1822","Shangai","Suzhou","jinling_wuhui_area","9","9","2","苏州","5","6","2","3","4","2","p1822-b","13","吴","以太湖水网与望虞河方向划界","geometry_drawn_assets_ready","太湖粮桑、运河市镇与手工业中心。"
"S-63","5029","115","75","50","south_china","B08","台湾山脉","Taiwan Mountains","zhx_taiwan_mountains","2155","Middag","Middag","taiwan_area","0","0","0","台湾山脉","0","0","0","0","0","0","p-taiwan-mountains","0","不可通行地形","中央山脉荒地，不属于任何国家","geometry_drawn_assets_ready","以中央山脉形成不可通行屏障，五个台湾省沿海岸环绕。"
"N-17","5045","41","159","207","north_china","B14","孟津","Mengjin","zhx_mengjin_henan","1836","Nanyang","Luoyang","chengzhou_area","5","5","3","洛阳","7","7","4","3","4","2","p1836-chengzhou","30","大周王畿","黄河渡口","geometry_drawn_assets_ready","成周北门、河阳粮运与黄河渡口。"
"N-18","5046","173","73","194","north_china","B14","偃师","Yanshi","zhx_yanshi_henan","1836","Nanyang","Luoyang","chengzhou_area","5","5","3","洛阳","7","7","4","3","3","2","p1836-chengzhou","30","大周王畿","成周故城与礼器工坊","geometry_drawn_assets_ready","沿伊洛河谷分出成周故城、王室工坊与东京驿路。"
"N-19","5047","23","186","116","north_china","B14","卫辉","Weihui","zhx_weihui_henan","692","Handan","Huaiqing","hebei_zhangwei_area","3","3","2","怀庆","4","4","2","4","4","2","p692-hebei","32","魏公国","周赵均有边境影响","geometry_drawn_assets_ready","太行山东麓与黄河北岸的卫辉平原。"
"N-20","5048","209","92","66","north_china","B14","彰德","Zhangde","zhx_zhangde_henan","692","Handan","Huaiqing","hebei_zhangwei_area","3","3","2","怀庆","4","4","2","5","5","2","p692-hebei","32","赵公国","魏赵争议边界","geometry_drawn_assets_ready","漳洹河谷、冶铁与北部军事门户。"
"N-21","5049","117","176","219","north_china","B14","滑州","Huazhou","zhx_huazhou_henan","692","Handan","Huaiqing","hebei_zhangwei_area","3","3","2","怀庆","4","4","2","3","4","1","p692-hebei","32","魏公国","黄河故道与周国接壤","geometry_drawn_assets_ready","黄河北岸牧地、渡口与东京北面的缓冲地。"
"N-22","5050","222","166","47","north_china","B14","睢州","Suizhou","zhx_suizhou_henan","2176","Shangqiu","Guide","guide_xuchen_area","3","3","2","归德","5","6","2","3","3","1","p2176-shangsong","34","商宋","齐鲁与淮北通道","geometry_drawn_assets_ready","商宋东部门户、睢水沿岸牲畜与粮运。"
"N-23","5051","126","69","213","north_china","B14","陈州","Chenzhou (Henan)","zhx_chenzhou_henan","2176","Shangqiu","Guide","guide_xuchen_area","3","3","2","归德","5","6","2","4","4","2","p2176-shangsong","34","商宋","蔡国保留宣称","geometry_drawn_assets_ready","陈蔡平原、淮河以北粮仓与南北驿路。"
"N-24","5052","63","194","179","north_china","B14","许州","Xuzhou (Henan)","zhx_xuzhou_henan","2176","Shangqiu","Guide","guide_xuchen_area","3","3","2","归德","5","6","2","5","5","2","p2176-shangsong","34","商宋","周国与蔡国均有宣称","geometry_drawn_assets_ready","东京南面的布业市镇与中原南北交通节点。"
"N-25","5053","201","120","171","north_china","B14","汝州","Ruzhou","zhx_ruzhou_henan","687","Running","Nanyang","runing_nanyang_area","3","3","2","南阳","6","6","3","3","3","2","p687-rucai","25","蔡国","周国西南边界","geometry_drawn_assets_ready","伏牛山东麓铁矿、山前道路与成周南门。"
"N-26","5054","87","109","203","north_china","B14","汝宁","Runing","zhx_cai_henan","2175","Runing","Xinyang","runing_nanyang_area","3","3","2","信阳","3","4","2","5","5","2","p2175-huai","13","蔡国","淮河北岸","geometry_drawn_assets_ready","蔡州旧地、淮河北岸粮仓与可通行淮河渡口。"
"N-27","5055","149","190","68","north_china","B14","邓州","Dengzhou","zhx_dengzhou_henan","687","Running","Nanyang","runing_nanyang_area","3","3","2","南阳","6","6","3","4","4","2","p687-rucai","25","申公国","荆楚北缘","geometry_drawn_assets_ready","南阳盆地西南部牲畜、驿路与襄邓通道。"
"S-64","5056","130","104","198","south_china","B15","六合","Liuhe","zhx_liuhe_yingtian","1821","Nanjing","Jiangning","yingtian_area","7","8","4","江宁","7","8","4","2","2","1","p1821-yingtian","10","徐侯国","新增省份为六合，不承载南京奇观","geometry_drawn_assets_ready","长江北岸六合，保留新增省份的低发展度；南京城市属性、首都与奇观均留在1821江宁。"
"S-65","5057","146","158","175","south_china","B15","溧水","Lishui (Jiangsu)","zhx_lishui_yingtian","1821","Nanjing","Jiangning","yingtian_area","7","8","4","江宁","7","8","4","2","2","1","p1821-yingtian","10","吴","与江宁、六合共组应天区域","geometry_drawn_assets_ready","江宁南部丘陵、秦淮河源区与茶粮产地。"
"S-66","5058","68","138","214","south_china","B16","亳州","Bozhou (Anhui)","zhx_bozhou_anhui","2144","Fuyang","Yingzhou","huaiying_area","2","2","1","颍州","4","4","2","3","3","2","p2144-huaiying","24","商宋","蔡国保留影响","geometry_drawn_assets_ready","淮北平原西北门户，以牲畜表现药材、集市与旱作经济。"
"S-67","5059","45","105","185","south_china","B16","寿州","Shouzhou","zhx_shouzhou_anhui","2144","Fuyang","Yingzhou","huaiying_area","2","2","1","颍州","4","4","2","4","4","3","p2144-huaiying","24","蔡国","淮河南岸要塞与一级商埠","geometry_drawn_assets_ready","寿春古城控制淮河中游渡口，是淮颍区域的军事与贸易核心。"
"S-68","5060","226","127","54","south_china","B16","六安","Lu'an","zhx_luan_anhui","1838","Hefei","Luzhou","jianghuai_area","4","4","3","庐州","4","5","2","3","3","3","p1838-jianghuai","26","舒侯国","大别山东麓","geometry_drawn_assets_ready","江淮西门与茶山军镇，连接寿春、庐州和大别山。"
"S-69","5061","232","181","97","south_china","B16","巢湖","Chaohu","zhx_chaohu_anhui","1838","Hefei","Luzhou","jianghuai_area","4","4","3","庐州","4","5","2","3","4","2","p1838-jianghuai","26","舒侯国","巢湖水面以省份经济抽象表现","geometry_drawn_assets_ready","庐州以东、无为以北的湖运和渔业节点，并接触长江航道。"
"S-70","5062","244","187","122","south_china","B16","无为","Wuwei","zhx_wuwei_anhui","1838","Hefei","Luzhou","wanjiang_area","4","4","3","庐州","4","5","2","3","3","2","p1838-jianghuai","26","舒侯国","吴国争夺","geometry_drawn_assets_ready","巢湖与长江之间的圩田粮仓，作为皖江北岸腹地。"
"S-71","5063","230","142","76","south_china","B16","滁州","Chuzhou (Anhui)","zhx_chuzhou_anhui","2143","Haozhou","Haozhou","jianghuai_area","2","1","1","濠州","3","3","2","3","3","2","p2143-eastjianghuai","20","徐侯国","江宁与濠州之间的争夺地","geometry_drawn_assets_ready","江淮东缘丘陵和江宁西北屏障。"
"S-72","5064","239","169","99","south_china","B16","和州","Hezhou (Anhui)","zhx_hezhou_anhui","2143","Haozhou","Haozhou","jianghuai_area","2","1","1","濠州","3","3","2","3","3","2","p2143-eastjianghuai","20","舒侯国","吴国与徐国均有影响","geometry_drawn_assets_ready","淮河以南、长江以北的江淮交通节点。"
"S-73","5065","103","188","132","south_china","B16","池州","Chizhou","zhx_chizhou_anhui","686","Anqing","Anqing","wanjiang_area","6","6","2","安庆","5","5","3","3","4","2","p686-wanjiang","8","吴","楚国保留争夺","geometry_drawn_assets_ready","长江南岸矿业、山货与九华山交通中心。"
"S-74","5067","190","91","163","south_china","B16","太平","Taiping (Anhui)","zhx_taiping_anhui","2147","Huizhou","Huizhou","huining_area","5","4","3","徽州","4","5","2","3","3","2","p2147-huining","7","吴","皖江与徽州之间的山口","geometry_drawn_assets_ready","黄山北麓茶区，连接池州、宁国与徽州。"
"S-75","5068","128","199","148","south_china","B16","广德","Guangde","zhx_guangde_anhui","2146","Ningguo","Ningguo","huining_area","3","3","3","宁国","3","4","2","3","3","2","p2146-huining","20","吴","越国保留东部影响","geometry_drawn_assets_ready","天目山西缘竹木产地和吴越边境通道。"
"B45-01","5312","233","147","191","south_china","B45","永顺","Yongshun","gdd_b45_yongshun","2173","Yuanling","Yuanling","wuling_hunan_area","3","4","6","辰州","1","1","1","1","1","1","b45-p2173","0","WLM","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-02","5313","50","42","134","south_china","B45","保靖","Baojing","gdd_b45_baojing","2173","Yuanling","Yuanling","wuling_hunan_area","3","4","6","辰州","1","1","1","0","1","2","b45-p2173","0","WLM","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-03","5314","123","193","77","south_china","B45","沅州","Yuanzhou Hunan","gdd_b45_yuanzhou_hunan","2173","Yuanling","Yuanling","wuling_hunan_area","3","4","6","辰州","1","1","1","1","1","2","b45-p2173","0","CZM","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-04","5315","196","88","20","south_china","B45","绥宁","Suining Hunan","gdd_b45_suining_hunan","4999","Jingzhou (Hunan)","Jingzhou","southwest_hunan_area","3","3","5","靖州","2","2","3","1","1","2","b45-p4999","0","CZM","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-05","5316","13","239","219","south_china","B45","慈利","Cili","gdd_b45_cili","4996","Lizhou","Lizhou","lishui_area","2","4","4","澧州","1","2","1","1","1","1","b45-p4996","0","WLM","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-06","5317","86","134","162","south_china","B45","桑植","Sangzhi","gdd_b45_sangzhi","4996","Lizhou","Lizhou","lishui_area","2","4","4","澧州","1","2","1","0","1","2","b45-p4996","0","WLM","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-07","5318","159","29","105","south_china","B45","耒阳","Leiyang","gdd_b45_leiyang","2174","Hengyang","Hengyang","hengchen_area","4","4","5","衡州","2","2","2","1","1","2","b45-p2174","0","HNG","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-08","5319","232","180","48","south_china","B45","茶陵","Chaling","gdd_b45_chaling","2174","Hengyang","Hengyang","hengchen_area","4","4","5","衡州","2","2","2","1","1","1","b45-p2174","0","HNG","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-09","5320","49","75","247","south_china","B45","平江","Pingjiang","gdd_b45_pingjiang","671","Changsha","Changsha","hunan_area","8","9","4","长沙","4","4","2","3","2","1","b45-p671","0","CHC","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-10","5321","122","226","190","south_china","B45","浏阳","Liuyang","gdd_b45_liuyang","671","Changsha","Changsha","hunan_area","8","9","4","长沙","4","4","2","1","3","1","b45-p671","0","CSA","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-11","5322","195","121","133","south_china","B45","安化","Anhua","gdd_b45_anhua","4997","Yiyang","Yiyang","dongting_area","4","4","4","益阳","2","2","2","2","2","2","b45-p4997","0","CSA","B54用户明确改归长沙国","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-12","5323","12","16","76","south_china","B45","丰城","Fengcheng","gdd_b45_fengcheng","683","Nanchang","Nanchang","xunyang_area","9","10","6","南昌","4","4","2","3","3","2","b45-p683","0","NCH","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-13","5324","85","167","19","south_china","B45","奉新","Fengxin","gdd_b45_fengxin","683","Nanchang","Nanchang","xunyang_area","9","10","6","南昌","4","4","2","2","3","2","b45-p683","0","NCH","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-14","5325","158","62","218","south_china","B45","昌南","Changnan","gdd_b45_changnan","2151","Poyang","Poyang","jiangxi_area","7","9","4","饶州","4","4","2","3","5","2","b45-p2151","0","NCH","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-15","5326","231","213","161","south_china","B45","德兴","Dexing","gdd_b45_dexing","4993","Guangxin","Guangxin","jiangxi_area","5","6","3","广信","3","3","2","2","3","1","b45-p4993","0","TSF","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-16","5327","48","108","104","south_china","B45","宁都","Ningdu","gdd_b45_ningdu","670","Ganzhou","Ganzhou","gannan_area","6","7","5","赣州","4","4","2","2","3","3","b45-p670","0","HAK","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B45-17","5328","121","3","47","south_china","B45","安福","Anfu","gdd_b45_anfu","4994","Yuanzhou","Yuanzhou","south_jiangxi_area","3","4","3","袁州","2","2","2","1","2","1","b45-p4994","0","LCH","用户授权国家与文化平衡裁决","implemented","湖南—江西统一适度细化；几何采用审定效果图并保持母省发展度守恒。"
"B46-01","5329","184","165","77","south_china","B46","昭化","Zhaohua","gdd_b46_zhaohua","5081","Jianzhou (Sichuan)","Jianzhou (Sichuan)","chuanbei_area","3","3","2","剑州","1","2","1","1","1","2","b46-p5081","0","JUU","用户授权国家与文化归属；县级GeoJSON用于边界语言","implemented","川东北—重庆二次细化；只拆母省、总发展度守恒。"
"B46-02","5330","155","76","224","south_china","B46","蓬州","Pengzhou","gdd_b46_pengzhou","2169","Langzhong","Langzhong","baqu_area","4","4","2","阆中","3","2","2","1","2","1","b46-p2169","1","BAA","用户授权国家与文化归属；县级GeoJSON用于边界语言","implemented","川东北—重庆二次细化；只拆母省、总发展度守恒。"
"B46-03","5331","48","184","80","south_china","B46","遂州","Suizhou","gdd_b46_suizhou","5082","Shunqing","Shunqing","chuanbei_area","4","5","2","顺庆","2","2","1","1","2","1","b46-p5082","-2","SHU","用户授权国家与文化归属；县级GeoJSON用于边界语言","implemented","川东北—重庆二次细化；只拆母省、总发展度守恒。"
"B46-04","5332","224","94","101","south_china","B46","巴州","Bazhou","gdd_b46_bazhou","4211","Dazhou","Dazhou","baqu_area","3","3","2","达州","1","1","1","1","1","1","b46-p4211","1","DQU","用户授权国家与文化归属；县级GeoJSON用于边界语言","implemented","川东北—重庆二次细化；只拆母省、总发展度守恒。"
"B46-05","5333","62","104","184","south_china","B46","渠州","Quzhou","gdd_b46_quzhou","4211","Dazhou","Dazhou","baqu_area","3","3","2","达州","1","1","1","1","1","1","b46-p4211","1","DQU","用户授权国家与文化归属；县级GeoJSON用于边界语言","implemented","川东北—重庆二次细化；只拆母省、总发展度守恒。"
"B46-06","5334","164","224","58","south_china","B46","昌州","Changzhou Sichuan","gdd_b46_changzhou_sichuan","5026","Hezhou (Chongqing)","Hezhou (Chongqing)","chongqing_area","4","4","2","合州","2","2","1","1","2","1","b46-p5026","-1","BAA","用户授权国家与文化归属；县级GeoJSON用于边界语言","implemented","川东北—重庆二次细化；只拆母省、总发展度守恒。"
"B46-07","5335","184","77","176","south_china","B46","江津","Jiangjin","gdd_b46_jiangjin","680","Chongqing","Chongqing","chongqing_area","8","9","3","重庆","4","5","2","2","3","1","b46-p680","-3","BAA","用户授权国家与文化归属；县级GeoJSON用于边界语言","implemented","川东北—重庆二次细化；只拆母省、总发展度守恒。"
"B46-08","5336","76","224","192","south_china","B46","南川","Nanchuan","gdd_b46_nanchuan","5027","Fuzhou (Chongqing)","Fuzhou (Chongqing)","fuling_area","4","4","2","涪州","1","2","1","1","1","1","b46-p5027","0","ZHI","用户授权国家与文化归属；县级GeoJSON用于边界语言","implemented","川东北—重庆二次细化；只拆母省、总发展度守恒。"
"B46-09","5337","184","114","48","south_china","B46","彭水","Pengshui","gdd_b46_pengshui","5027","Fuzhou (Chongqing)","Fuzhou (Chongqing)","fuling_area","4","4","2","涪州","1","2","1","1","1","1","b46-p5027","0","ZHI","用户授权国家与文化归属；县级GeoJSON用于边界语言","implemented","川东北—重庆二次细化；只拆母省、总发展度守恒。"
"B46-10","5338","120","94","224","south_china","B46","忠州","Zhongzhou","gdd_b46_zhongzhou","4987","Wanzhou","Wanzhou","fuling_area","3","4","2","万州","2","2","1","1","2","1","b46-p4987","3","ZHI","用户授权国家与文化归属；县级GeoJSON用于边界语言","implemented","川东北—重庆二次细化；只拆母省、总发展度守恒。"
"B46-11","5339","74","184","62","south_china","B46","开州","Kaizhou","gdd_b46_kaizhou","4987","Wanzhou","Wanzhou","xiajiang_area","3","4","2","万州","2","2","1","1","1","1","b46-p4987","3","DQU","用户授权国家与文化归属；县级GeoJSON用于边界语言","implemented","川东北—重庆二次细化；只拆母省、总发展度守恒。"
"B46-12","5340","224","58","123","south_china","B46","石砫","Shizhu","gdd_b46_shizhu","5028","Kuizhou","Kuizhou","fuling_area","3","3","2","夔州","2","2","2","1","1","1","b46-p5028","1","ZHI","用户授权国家与文化归属；县级GeoJSON用于边界语言","implemented","川东北—重庆二次细化；只拆母省、总发展度守恒。"
"B47-01","5341","210","87","145","south_china","B47","房州","Fangzhou (Hubei)","gdd_b47_5341","5008","Yun","Yunyang","hanshang_area","2","3","3","郧","1","2","1","1","1","2","b47-p5008","0","SHE","用户批准跨旧省界均衡；县级GeoJSON只作方位与边界语言","implemented","荆襄—豫南二次细化；外缘锁定、内部重排、发展度守恒。"
"B47-02","5342","77","172","204","south_china","B47","宜城","Yicheng","gdd_b47_5342","2171","Xiangyang","Xiangyang","hanshang_area","6","6","5","襄阳","4","4","3","2","2","2","b47-p2171","0","LUO","用户批准跨旧省界均衡；县级GeoJSON只作方位与边界语言","implemented","荆襄—豫南二次细化；外缘锁定、内部重排、发展度守恒。"
"B47-03","5343","188","151","62","south_china","B47","荆门","Jingmen","gdd_b47_5343","5010","Anlu","Chengtian","yunmeng_jingmen_area","3","3","2","安陆","2","1","1","1","2","1","b47-p5010","0","CHC","用户批准跨旧省界均衡；县级GeoJSON只作方位与边界语言","implemented","荆襄—豫南二次细化；外缘锁定、内部重排、发展度守恒。"
"B47-04","5344","92","189","108","south_china","B47","监利","Jianli","gdd_b47_5344","5015","Mianyang","Mianyang","yunmeng_jingmen_area","2","2","2","沔阳","1","1","1","1","1","1","b47-p5015","0","CHC","用户批准跨旧省界均衡；县级GeoJSON只作方位与边界语言","implemented","荆襄—豫南二次细化；外缘锁定、内部重排、发展度守恒。"
"B47-05","5345","133","83","198","south_china","B47","枝江","Zhijiang","gdd_b47_5345","2172","Jingzhou","Jingzhou","jingyi_area","5","5","4","荆州","3","3","3","2","2","1","b47-p2172","0","CHC","用户批准跨旧省界均衡；县级GeoJSON只作方位与边界语言","implemented","荆襄—豫南二次细化；外缘锁定、内部重排、发展度守恒。"
"B47-06","5346","218","111","67","south_china","B47","归州","Guizhou (Hubei)","gdd_b47_5346","681","Yiling","Yichang","yigui_area","4","4","3","夷陵","3","2","2","1","2","1","b47-p681","0","SHE","用户批准跨旧省界均衡；县级GeoJSON只作方位与边界语言","implemented","荆襄—豫南二次细化；外缘锁定、内部重排、发展度守恒。"
"B47-07","5347","68","123","190","north_china","B47","方城","Fangcheng","gdd_b47_5347","687","Nanyang","Nanyang","wandeng_area","6","6","3","南阳","4","4","2","2","2","1","b47-p687","0","GON","用户批准跨旧省界均衡；县级GeoJSON只作方位与边界语言","implemented","荆襄—豫南二次细化；外缘锁定、内部重排、发展度守恒。"
"B47-08","5348","172","76","102","north_china","B47","内乡","Neixiang","gdd_b47_5348","5055","Dengzhou","Dengzhou","wandeng_area","4","4","2","邓州","2","2","2","1","2","1","b47-p5055","0","GON","用户批准跨旧省界均衡；县级GeoJSON只作方位与边界语言","implemented","荆襄—豫南二次细化；外缘锁定、内部重排、发展度守恒。"
"B47-09","5349","112","169","73","north_china","B47","息州","Xizhou","gdd_b47_5349","5054","Runing","Runing","rucai_area","5","5","2","汝宁","3","3","2","2","1","1","b47-p5054","0","CAI","用户批准跨旧省界均衡；县级GeoJSON只作方位与边界语言","implemented","荆襄—豫南二次细化；外缘锁定、内部重排、发展度守恒。"
"B47-10","5350","201","124","183","south_china","B47","光州","Guangzhou (Henan)","gdd_b47_5350","2175","Xinyang","Runing","dean_qihuang_area","3","4","2","信阳","2","2","1","1","2","1","b47-p2175","0","SUI","用户批准跨旧省界均衡；县级GeoJSON只作方位与边界语言","implemented","荆襄—豫南二次细化；外缘锁定、内部重排、发展度守恒。"
"B55-01","5351","62","177","143","north_china","B55","蔚州","Weizhou","gdd_b55_5351","2136","Xuanhua","Shanggu","hebei_area","","","","","","","","1","1","1","","","ZSH","","implemented","GeoJSON引导；锁定原上谷区域外缘，仅重画内部边界。"
"B55-02","5352","196","101","70","north_china","B55","龙门","Longmen","gdd_b55_5352","2136","Xuanhua","Shanggu","hebei_area","","","","","","","","1","1","1","","","ZSH","","implemented","GeoJSON引导；锁定原上谷区域外缘，仅重画内部边界。"
"B55-03","5353","88","137","207","north_china","B55","兴州","Xingzhou","gdd_b55_5353","703","Chengde","Rehe","hebei_area","","","","","","","","1","1","1","","","YAN","","implemented","GeoJSON引导；锁定原上谷区域外缘，仅重画内部边界。"
"B78-01","5381","45","137","169","north_china","B78","魏邑","Weiyi","gdd_b78_5381","2137","Daming","Daming","south_hebei_area","3","3","2","大名","3","2","2","2","3","2","b78-p2137","13","DMG","","implemented","锁定原大名外缘，只以两条折线重画内部边界；大名、魏邑属邶，元城属管。"
"B78-02","5382","201","137","79","north_china","B78","元城","Yuancheng","gdd_b78_5382","2137","Daming","Daming","south_hebei_area","3","3","2","大名","3","2","2","2","2","3","b78-p2137","0","GUN","","implemented","锁定原大名外缘，只以两条折线重画内部边界；大名、魏邑属邶，元城属管。"
